period_year,read_date,read_type,days,previous_reading,current_reading,multiplier,kwh_consumption,avg_kwh_day
2024-2025,2024-10-10,Actual Read,28,46739.00,48197.48,1.00,1458.48,52.09
2024-2025,2024-11-12,Actual Read,33,48197.48,49146.27,1.00,948.79,28.75
2024-2025,2024-12-11,Actual Read,29,49146.27,49937.62,1.00,791.35,27.29
2024-2025,2025-01-13,Actual Read,33,49937.62,50874.23,1.00,936.61,28.38
2024-2025,2025-02-12,Actual Read,30,50874.23,51787.94,1.00,913.71,30.46
2024-2025,2025-03-12,Actual Read,28,51787.94,52610.34,1.00,822.40,29.37
2024-2025,2025-04-10,Actual Read,29,52610.34,53372.00,1.00,761.66,26.26
2024-2025,2025-05-12,Actual Read,32,53372.00,54144.75,1.00,772.75,24.15
2024-2025,2025-06-11,Actual Read,30,54144.75,54940.11,1.00,795.36,26.51
2024-2025,2025-07-11,Actual Read,30,54940.11,56670.32,1.00,1730.21,57.67
2024-2025,2025-08-13,Actual Read,33,56670.32,59159.85,1.00,2489.53,75.44
2024-2025,2025-09-11,Actual Read,29,59159.85,59955.12,1.00,795.27,27.42
2025-2026,2025-10-10,Actual Read,29,59955.12,61315.25,1.00,1360.13,46.90
2025-2026,2025-11-12,Actual Read,33,61315.25,62140.84,1.00,825.59,25.02
2025-2026,2025-12-10,Actual Read,28,62140.84,62930.89,1.00,790.05,28.22
2025-2026,2026-01-12,Actual Read,33,62930.89,63862.11,1.00,931.22,28.22
2025-2026,2026-02-11,Actual Read,30,63862.11,64859.10,1.00,996.99,33.23
2025-2026,2026-03-11,Actual Read,28,64859.10,65632.19,1.00,773.09,27.61
2025-2026,2026-04-13,Actual Read,33,65632.19,66453.64,1.00,821.45,24.89
2025-2026,2026-05-12,Actual Read,29,66453.64,67175.79,1.00,722.15,24.90
2025-2026,2026-06-10,Actual Read,29,67175.79,68486.46,1.00,1310.67,45.20
2025-2026,2026-07-13,Actual Read,33,68486.46,70675.22,1.00,2188.76,66.33
2025-2026,2026-08-13,Actual Read,31,70675.22,72569.16,1.00,1893.94,61.09
2025-2026,2026-09-11,Actual Read,29,72569.16,73935.98,1.00,1366.82,47.13
